,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
COYOMEAPAN,3198.0,2142.0,55.0,36.0,149.0,53.0,21.0,1382.0,28.0,5.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,2.0,3.0,0.0,0.0,0.0,262.0,7381.0,8935,21037,2958.0,1607.0,45.0,17.0,279.0,43.0,18.0,2098.0,47.0,9.0,9.0,6.0,0.0,3.0,6.0,3.0,1.0,42.0,16.0,4.0,4.0,0.0,10.0,0.0,249.0,7474,8935,21037
COYOTEPEC,233.0,478.0,9.0,6.0,31.0,10.0,90.0,553.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,1.0,7.0,0.0,0.0,0.0,55.0,1504.0,1976,21038,176.0,351.0,6.0,3.0,57.0,6.0,29.0,803.0,18.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,27.0,11.0,0.0,6.0,0.0,12.0,0.0,42.0,1556,1976,21038
CUAPIAXTLA DE MADERO,590.0,640.0,430.0,69.0,139.0,70.0,30.0,2223.0,45.0,6.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,39.0,17.0,0.0,17.0,0.0,0.0,2.0,166.0,4496.0,6038,21039,404.0,505.0,260.0,11.0,226.0,23.0,17.0,2500.0,81.0,8.0,8.0,0.0,4.0,4.0,6.0,2.0,1.0,92.0,39.0,1.0,42.0,0.0,154.0,0.0,117.0,4505,6038,21039
CUAUTEMPAN,629.0,1294.0,145.0,77.0,128.0,1363.0,120.0,975.0,81.0,12.0,8.0,6.0,9.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,11.0,0.0,0.0,0.0,476.0,5356.0,6671,21040,601.0,1156.0,94.0,41.0,271.0,1082.0,108.0,1320.0,158.0,7.0,2.0,13.0,6.0,7.0,4.0,2.0,0.0,26.0,14.0,4.0,20.0,0.0,58.0,2.0,428.0,5424,6671,21040
CUAUTINCHAN,945.0,526.0,358.0,354.0,1132.0,155.0,92.0,1226.0,109.0,12.0,6.0,40.0,2.0,0.0,0.0,0.0,0.0,104.0,71.0,8.0,9.0,0.0,0.0,1.0,397.0,5547.0,6841,21041,763.0,450.0,268.0,187.0,1299.0,84.0,32.0,1512.0,145.0,17.0,9.0,37.0,1.0,2.0,5.0,2.0,4.0,158.0,84.0,8.0,26.0,12.0,145.0,2.0,302.0,5554,6841,21041
CUAUTLANCINGO,10877.0,3889.0,720.0,1861.0,1541.0,958.0,1296.0,21756.0,1352.0,143.0,78.0,30.0,4.0,0.0,0.0,0.0,0.0,597.0,191.0,28.0,174.0,0.0,0.0,30.0,1825.0,47350.0,70757,21042,8916.0,3366.0,266.0,197.0,2261.0,204.0,287.0,25815.0,1106.0,264.0,86.0,47.0,5.0,79.0,57.0,19.0,6.0,1247.0,326.0,46.0,278.0,50.0,2496.0,16.0,834.0,48274,70757,21042
CUAYUCA DE ANDRADE,622.0,1018.0,14.0,100.0,35.0,12.0,1.0,324.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,62.0,2201.0,2778,21043,520.0,771.0,13.0,59.0,90.0,9.0,2.0,607.0,38.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,11.0,5.0,0.0,6.0,0.0,8.0,0.0,57.0,2204,2778,21043
CUETZALAN DEL PROGRESO,6588.0,6905.0,200.0,284.0,662.0,301.0,210.0,5203.0,180.0,50.0,72.0,23.0,4.0,0.0,0.0,0.0,0.0,159.0,62.0,7.0,55.0,0.0,0.0,8.0,1583.0,22556.0,31820,21044,5665.0,5675.0,128.0,94.0,1157.0,147.0,81.0,6832.0,313.0,49.0,70.0,20.0,4.0,41.0,111.0,12.0,2.0,369.0,114.0,27.0,96.0,0.0,265.0,2.0,1362.0,22636,31820,21044
CUYOACO,1079.0,1824.0,92.0,437.0,429.0,1742.0,114.0,2534.0,85.0,9.0,8.0,25.0,4.0,0.0,0.0,0.0,0.0,61.0,44.0,3.0,12.0,0.0,0.0,0.0,479.0,8981.0,11442,21045,992.0,1519.0,51.0,150.0,694.0,1293.0,48.0,3250.0,111.0,16.0,9.0,21.0,2.0,4.0,11.0,4.0,0.0,135.0,57.0,6.0,32.0,3.0,249.0,3.0,321.0,8981,11442,21045
DOMINGO ARENAS,148.0,603.0,456.0,144.0,175.0,78.0,370.0,1286.0,96.0,4.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,20.0,8.0,2.0,3.0,0.0,0.0,0.0,248.0,3654.0,5018,21061,174.0,420.0,319.0,44.0,304.0,35.0,199.0,1495.0,91.0,7.0,11.0,2.0,3.0,10.0,5.0,7.0,3.0,68.0,35.0,10.0,22.0,10.0,185.0,1.0,201.0,3661,5018,21061
ELOXOCHITLAN,264.0,2590.0,350.0,35.0,78.0,3227.0,40.0,516.0,21.0,7.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,333.0,7495.0,8683,21062,353.0,2264.0,321.0,16.0,177.0,2612.0,35.0,1129.0,260.0,9.0,0.0,16.0,17.0,5.0,4.0,13.0,1.0,12.0,4.0,0.0,6.0,0.0,13.0,1.0,270.0,7538,8683,21062
EPATLAN,659.0,591.0,31.0,59.0,51.0,415.0,22.0,761.0,19.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,3.0,0.0,0.0,0.0,135.0,2768.0,3707,21063,553.0,489.0,19.0,14.0,114.0,287.0,10.0,1006.0,24.0,3.0,0.0,3.0,1.0,2.0,7.0,0.0,0.0,43.0,8.0,2.0,10.0,1.0,72.0,0.0,103.0,2771,3707,21063
ESPERANZA,480.0,913.0,98.0,179.0,176.0,1444.0,1180.0,2165.0,101.0,27.0,8.0,34.0,9.0,0.0,0.0,0.0,0.0,50.0,31.0,5.0,25.0,0.0,0.0,1.0,493.0,7419.0,10175,21064,574.0,526.0,55.0,56.0,377.0,719.0,670.0,3264.0,223.0,28.0,7.0,28.0,2.0,6.0,10.0,12.0,5.0,140.0,63.0,13.0,70.0,3.0,182.0,0.0,371.0,7404,10175,21064
FRANCISCO Z. MENA,2709.0,1671.0,213.0,71.0,321.0,121.0,414.0,3454.0,81.0,67.0,49.0,10.0,1.0,0.0,0.0,0.0,0.0,82.0,53.0,4.0,27.0,0.0,0.0,0.0,394.0,9742.0,12623,21065,2280.0,1541.0,184.0,32.0,427.0,88.0,261.0,3886.0,114.0,56.0,38.0,15.0,1.0,13.0,30.0,12.0,1.0,129.0,72.0,14.0,35.0,10.0,134.0,0.0,332.0,9705,12623,21065
GENERAL FELIPE ANGELES,842.0,1980.0,260.0,148.0,439.0,380.0,163.0,3849.0,329.0,24.0,27.0,8.0,6.0,0.0,0.0,0.0,0.0,120.0,41.0,25.0,73.0,0.0,0.0,2.0,730.0,9446.0,13860,21066,778.0,900.0,204.0,34.0,735.0,214.0,91.0,4645.0,450.0,40.0,36.0,13.0,6.0,4.0,17.0,7.0,1.0,271.0,102.0,33.0,148.0,0.0,218.0,1.0,508.0,9456,13860,21066
GUADALUPE,1373.0,1585.0,28.0,41.0,59.0,14.0,10.0,574.0,30.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,2.0,12.0,0.0,0.0,0.0,134.0,3920.0,5408,21067,1139.0,1449.0,15.0,10.0,132.0,11.0,10.0,856.0,54.0,4.0,12.0,1.0,0.0,5.0,18.0,0.0,0.0,48.0,12.0,10.0,18.0,0.0,25.0,0.0,111.0,3940,5408,21067
GUADALUPE VICTORIA,1056.0,3968.0,88.0,136.0,101.0,288.0,870.0,1517.0,44.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,2.0,4.0,0.0,0.0,1.0,480.0,8602.0,11502,21068,963.0,3022.0,66.0,34.0,376.0,151.0,485.0,2443.0,147.0,14.0,10.0,9.0,0.0,5.0,35.0,11.0,3.0,79.0,25.0,2.0,25.0,1.0,376.0,1.0,325.0,8608,11502,21068
HERMENEGILDO GALEANA,1486.0,1473.0,39.0,475.0,37.0,20.0,4.0,510.0,19.0,2.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,230.0,4344.0,5337,21069,1257.0,1367.0,28.0,382.0,109.0,11.0,8.0,834.0,38.0,3.0,35.0,4.0,0.0,1.0,11.0,0.0,2.0,18.0,4.0,1.0,9.0,2.0,16.0,0.0,192.0,4332,5337,21069
HONEY,1458.0,1666.0,27.0,25.0,29.0,34.0,22.0,508.0,16.0,6.0,29.0,13.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,236.0,4085.0,5186,21058,1089.0,1344.0,39.0,13.0,112.0,19.0,14.0,1013.0,49.0,7.0,32.0,9.0,1.0,2.0,13.0,1.0,0.0,29.0,11.0,2.0,8.0,0.0,89.0,0.0,201.0,4097,5186,21058
HUAQUECHULA,2619.0,3859.0,122.0,248.0,338.0,167.0,134.0,4942.0,137.0,34.0,32.0,12.0,1.0,0.0,0.0,0.0,0.0,107.0,63.0,8.0,42.0,0.0,0.0,3.0,655.0,13523.0,20393,21070,2143.0,3385.0,82.0,71.0,554.0,78.0,71.0,5814.0,171.0,37.0,30.0,17.0,1.0,25.0,34.0,5.0,2.0,210.0,114.0,17.0,70.0,18.0,245.0,3.0,449.0,13646,20393,21070
HUATLATLAUCA,1179.0,372.0,28.0,29.0,103.0,657.0,19.0,1122.0,36.0,3.0,12.0,9.0,7.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,7.0,0.0,0.0,0.0,255.0,3862.0,5094,21071,900.0,248.0,22.0,2.0,218.0,422.0,9.0,1523.0,73.0,7.0,8.0,8.0,4.0,4.0,2.0,0.0,0.0,50.0,18.0,4.0,20.0,4.0,30.0,0.0,237.0,3813,5094,21071
HUAUCHINANGO,9687.0,9369.0,1481.0,1795.0,1466.0,900.0,794.0,19381.0,924.0,215.0,257.0,56.0,36.0,0.0,0.0,0.0,0.0,519.0,232.0,38.0,218.0,0.0,0.0,20.0,3340.0,50728.0,71439,21072,6768.0,6225.0,854.0,919.0,2753.0,425.0,302.0,24372.0,1172.0,212.0,228.0,44.0,17.0,85.0,177.0,20.0,17.0,1178.0,360.0,82.0,354.0,58.0,1799.0,27.0,2619.0,51067,71439,21072
HUEHUETLA,1624.0,3332.0,2550.0,38.0,257.0,55.0,38.0,990.0,60.0,3.0,13.0,18.0,2.0,0.0,0.0,0.0,0.0,13.0,8.0,3.0,1.0,0.0,0.0,0.0,295.0,9300.0,11343,21073,1475.0,3154.0,2338.0,14.0,411.0,33.0,10.0,1447.0,59.0,3.0,22.0,14.0,3.0,4.0,27.0,0.0,1.0,35.0,14.0,2.0,6.0,1.0,34.0,0.0,211.0,9318,11343,21073
HUEHUETLAN EL CHICO,1407.0,1300.0,157.0,80.0,207.0,217.0,105.0,1432.0,62.0,4.0,16.0,4.0,6.0,0.0,0.0,0.0,0.0,14.0,9.0,1.0,11.0,0.0,0.0,0.0,314.0,5346.0,7283,21074,1017.0,1003.0,84.0,24.0,479.0,86.0,52.0,1959.0,131.0,5.0,10.0,8.0,5.0,4.0,5.0,3.0,0.0,56.0,31.0,3.0,16.0,5.0,86.0,0.0,258.0,5330,7283,21074
HUEHUETLAN EL GRANDE,205.0,1245.0,50.0,43.0,99.0,962.0,29.0,727.0,19.0,7.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,11.0,8.0,2.0,5.0,0.0,0.0,1.0,259.0,3692.0,4970,21075,225.0,967.0,26.0,14.0,203.0,715.0,7.0,1102.0,67.0,3.0,3.0,8.0,4.0,6.0,7.0,1.0,0.0,35.0,15.0,5.0,19.0,0.0,33.0,0.0,221.0,3686,4970,21075
HUEJOTZINGO,3526.0,4199.0,587.0,1437.0,1506.0,3069.0,1797.0,15459.0,580.0,77.0,19.0,46.0,69.0,0.0,0.0,0.0,0.0,356.0,265.0,28.0,102.0,0.0,0.0,10.0,1734.0,34866.0,53731,21076,3075.0,3013.0,303.0,401.0,2639.0,1318.0,699.0,17921.0,682.0,121.0,30.0,69.0,53.0,60.0,58.0,33.0,7.0,928.0,399.0,70.0,226.0,60.0,2125.0,6.0,1127.0,35423,53731,21076
HUEYAPAN,1325.0,1611.0,58.0,93.0,817.0,57.0,324.0,1250.0,39.0,13.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,42.0,2.0,9.0,0.0,0.0,0.0,316.0,6018.0,8275,21077,1080.0,1234.0,32.0,19.0,1072.0,20.0,200.0,1772.0,56.0,10.0,7.0,7.0,0.0,6.0,14.0,5.0,2.0,100.0,49.0,3.0,26.0,0.0,77.0,0.0,224.0,6015,8275,21077
HUEYTAMALCO,2911.0,4125.0,153.0,961.0,589.0,167.0,721.0,2774.0,211.0,41.0,21.0,10.0,2.0,0.0,0.0,0.0,0.0,90.0,28.0,11.0,30.0,0.0,0.0,2.0,802.0,13649.0,19500,21078,2411.0,3617.0,100.0,516.0,998.0,91.0,396.0,4036.0,211.0,48.0,34.0,12.0,1.0,17.0,41.0,9.0,11.0,196.0,67.0,22.0,45.0,0.0,305.0,1.0,612.0,13797,19500,21078
HUEYTLALPAN,635.0,1536.0,474.0,20.0,67.0,17.0,7.0,370.0,17.0,34.0,42.0,2.0,5.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,3.0,0.0,0.0,0.0,143.0,3386.0,4075,21079,562.0,1444.0,403.0,10.0,115.0,11.0,5.0,550.0,34.0,31.0,42.0,2.0,2.0,2.0,11.0,1.0,0.0,20.0,4.0,4.0,4.0,2.0,12.0,0.0,118.0,3389,4075,21079
HUITZILAN DE SERDAN,1620.0,3470.0,80.0,65.0,209.0,84.0,28.0,838.0,28.0,24.0,31.0,11.0,1.0,0.0,0.0,0.0,0.0,36.0,16.0,2.0,7.0,0.0,0.0,0.0,476.0,7026.0,9430,21080,1339.0,3240.0,60.0,21.0,380.0,38.0,16.0,1169.0,59.0,22.0,26.0,9.0,0.0,29.0,103.0,3.0,0.0,91.0,21.0,6.0,11.0,0.0,21.0,0.0,312.0,6976,9430,21080
HUITZILTEPEC,541.0,490.0,56.0,383.0,127.0,90.0,16.0,1175.0,44.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,8.0,1.0,8.0,0.0,0.0,0.0,185.0,3148.0,4025,21081,362.0,286.0,13.0,169.0,288.0,33.0,5.0,1642.0,80.0,9.0,5.0,1.0,0.0,1.0,6.0,1.0,0.0,45.0,20.0,2.0,10.0,2.0,99.0,0.0,127.0,3206,4025,21081
IXCAMILPA DE GUERRERO,171.0,1025.0,10.0,12.0,46.0,704.0,13.0,232.0,14.0,2.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,6.0,0.0,0.0,1.0,118.0,2383.0,3066,21083,160.0,889.0,8.0,3.0,137.0,554.0,5.0,413.0,32.0,4.0,1.0,3.0,1.0,3.0,6.0,3.0,0.0,19.0,11.0,1.0,16.0,2.0,21.0,1.0,93.0,2386,3066,21083
IXCAQUIXTLA,427.0,1820.0,33.0,28.0,62.0,91.0,50.0,1736.0,43.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,10.0,0.0,12.0,0.0,0.0,1.0,148.0,4502.0,5800,21084,336.0,1132.0,22.0,12.0,174.0,36.0,6.0,2398.0,73.0,3.0,2.0,1.0,0.0,12.0,4.0,4.0,0.0,83.0,18.0,4.0,17.0,1.0,36.0,6.0,125.0,4505,5800,21084
IXTACAMAXTITLAN,2051.0,4841.0,268.0,156.0,559.0,1351.0,115.0,3026.0,121.0,22.0,18.0,33.0,80.0,0.0,0.0,0.0,0.0,58.0,32.0,12.0,29.0,0.0,0.0,1.0,877.0,13650.0,17912,21085,1647.0,4301.0,213.0,63.0,843.0,984.0,61.0,3825.0,237.0,86.0,23.0,28.0,65.0,27.0,77.0,8.0,4.0,148.0,58.0,13.0,43.0,2.0,180.0,0.0,762.0,13698,17912,21085
IXTEPEC,848.0,797.0,968.0,36.0,163.0,28.0,7.0,696.0,17.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,3.0,3.0,0.0,0.0,0.0,244.0,3839.0,4822,21086,730.0,744.0,792.0,10.0,261.0,10.0,2.0,987.0,36.0,3.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,23.0,13.0,4.0,5.0,2.0,11.0,26.0,166.0,3836,4822,21086
IZUCAR DE MATAMOROS,2412.0,7517.0,1727.0,994.0,1347.0,1189.0,1290.0,15971.0,642.0,58.0,125.0,32.0,23.0,0.0,0.0,0.0,0.0,532.0,189.0,13.0,130.0,0.0,0.0,15.0,2012.0,36218.0,57741,21087,2213.0,4575.0,1156.0,255.0,2446.0,577.0,682.0,19082.0,805.0,120.0,137.0,35.0,11.0,54.0,80.0,34.0,8.0,1111.0,360.0,55.0,235.0,36.0,1173.0,28.0,1401.0,36669,57741,21087
JALPAN,649.0,682.0,203.0,1005.0,187.0,1115.0,729.0,1827.0,86.0,4.0,6.0,46.0,9.0,0.0,0.0,0.0,0.0,40.0,18.0,5.0,10.0,0.0,0.0,1.0,556.0,7178.0,9278,21088,439.0,552.0,123.0,787.0,359.0,873.0,590.0,2477.0,139.0,8.0,6.0,31.0,18.0,5.0,17.0,22.0,13.0,88.0,26.0,10.0,23.0,15.0,86.0,1.0,449.0,7157,9278,21088
JOLALPAN,1132.0,2189.0,447.0,62.0,157.0,476.0,43.0,1935.0,108.0,14.0,20.0,8.0,113.0,0.0,0.0,0.0,0.0,34.0,14.0,2.0,20.0,0.0,0.0,0.0,637.0,7411.0,9401,21089,778.0,1741.0,251.0,25.0,520.0,254.0,18.0,2707.0,211.0,24.0,16.0,13.0,109.0,11.0,26.0,2.0,0.0,102.0,40.0,16.0,47.0,8.0,54.0,0.0,477.0,7450,9401,21089
JONOTLA,301.0,666.0,28.0,375.0,79.0,22.0,537.0,372.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,183.0,2582.0,3415,21090,292.0,582.0,14.0,295.0,163.0,13.0,387.0,596.0,40.0,2.0,1.0,0.0,0.0,2.0,13.0,5.0,5.0,4.0,6.0,3.0,0.0,2.0,22.0,1.0,125.0,2573,3415,21090
JOPALA,1865.0,903.0,910.0,840.0,105.0,65.0,22.0,1933.0,84.0,10.0,9.0,15.0,4.0,0.0,0.0,0.0,0.0,47.0,12.0,3.0,15.0,0.0,0.0,0.0,328.0,7170.0,9104,21091,1616.0,859.0,720.0,756.0,197.0,42.0,14.0,2294.0,120.0,7.0,10.0,13.0,4.0,2.0,21.0,2.0,4.0,65.0,34.0,6.0,27.0,11.0,47.0,0.0,295.0,7166,9104,21091
JUAN C. BONILLA,1360.0,741.0,300.0,892.0,395.0,657.0,206.0,5766.0,225.0,25.0,63.0,13.0,3.0,0.0,0.0,0.0,0.0,172.0,51.0,3.0,51.0,0.0,0.0,2.0,595.0,11520.0,16551,21092,1054.0,604.0,160.0,369.0,618.0,231.0,74.0,6555.0,311.0,36.0,66.0,15.0,4.0,13.0,18.0,3.0,2.0,400.0,92.0,26.0,114.0,2.0,393.0,2.0,373.0,11535,16551,21092
JUAN GALINDO,696.0,990.0,80.0,100.0,93.0,70.0,18.0,2166.0,69.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,60.0,18.0,4.0,16.0,0.0,0.0,2.0,139.0,4536.0,5886,21093,339.0,667.0,48.0,35.0,147.0,30.0,5.0,2746.0,102.0,1.0,7.0,1.0,0.0,4.0,9.0,2.0,0.0,122.0,23.0,7.0,38.0,1.0,92.0,2.0,90.0,4518,5886,21093
JUAN N. MENDEZ,586.0,756.0,27.0,220.0,138.0,26.0,308.0,889.0,21.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,3.0,8.0,0.0,0.0,0.0,179.0,3225.0,3914,21094,504.0,431.0,20.0,103.0,266.0,18.0,224.0,1260.0,51.0,8.0,6.0,4.0,0.0,3.0,4.0,5.0,1.0,60.0,32.0,10.0,16.0,0.0,56.0,0.0,156.0,3238,3914,21094
LA MAGDALENA TLATLAUQUITEPEC,140.0,161.0,4.0,1.0,8.0,2.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,11.0,424.0,484,21097,110.0,139.0,5.0,1.0,15.0,0.0,1.0,135.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,424,484,21097
LAFRAGUA,432.0,1210.0,85.0,109.0,51.0,790.0,762.0,792.0,18.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,4.0,0.0,0.0,0.0,296.0,4575.0,5751,21095,387.0,868.0,59.0,68.0,181.0,518.0,576.0,1394.0,84.0,4.0,2.0,8.0,0.0,1.0,4.0,14.0,2.0,38.0,11.0,2.0,11.0,1.0,67.0,13.0,252.0,4565,5751,21095
LIBRES,2548.0,3062.0,537.0,1565.0,311.0,341.0,803.0,5854.0,206.0,31.0,18.0,43.0,2.0,0.0,0.0,0.0,0.0,108.0,22.0,6.0,30.0,0.0,0.0,2.0,885.0,16374.0,23082,21096,2272.0,2195.0,292.0,804.0,708.0,124.0,364.0,7857.0,287.0,47.0,33.0,25.0,2.0,32.0,50.0,11.0,9.0,279.0,69.0,10.0,85.0,2.0,842.0,34.0,660.0,17093,23082,21096
LOS REYES DE JUAREZ,2776.0,2095.0,253.0,186.0,488.0,195.0,97.0,4620.0,146.0,42.0,107.0,6.0,3.0,0.0,0.0,0.0,0.0,147.0,69.0,6.0,62.0,0.0,0.0,0.0,467.0,11765.0,16873,21119,1691.0,1539.0,118.0,37.0,847.0,60.0,27.0,5889.0,201.0,40.0,90.0,5.0,1.0,9.0,24.0,9.0,1.0,299.0,136.0,15.0,78.0,3.0,268.0,19.0,375.0,11781,16873,21119
MAZAPILTEPEC DE JUAREZ,125.0,179.0,13.0,79.0,31.0,125.0,13.0,425.0,20.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,63.0,1088.0,2092,21098,86.0,91.0,4.0,37.0,73.0,60.0,7.0,555.0,35.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,10.0,9.0,0.0,8.0,0.0,62.0,0.0,44.0,1086,2092,21098
MIXTLA,165.0,358.0,68.0,32.0,29.0,20.0,12.0,616.0,18.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,64.0,1401.0,1751,21099,103.0,239.0,41.0,9.0,55.0,12.0,3.0,811.0,20.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,18.0,8.0,0.0,5.0,2.0,40.0,0.0,29.0,1401,1751,21099
MOLCAXAC,608.0,760.0,73.0,29.0,196.0,142.0,16.0,1579.0,33.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,3.0,8.0,0.0,0.0,0.0,188.0,3688.0,4886,21100,366.0,472.0,39.0,7.0,303.0,91.0,6.0,2011.0,73.0,11.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0,51.0,27.0,4.0,16.0,1.0,67.0,0.0,133.0,3690,4886,21100
NAUPAN,1210.0,1648.0,327.0,51.0,161.0,85.0,31.0,1744.0,49.0,4.0,17.0,7.0,3.0,0.0,0.0,0.0,0.0,29.0,10.0,0.0,10.0,0.0,0.0,1.0,286.0,5673.0,6762,21101,958.0,1447.0,232.0,41.0,283.0,50.0,18.0,2096.0,86.0,5.0,9.0,2.0,2.0,8.0,32.0,1.0,0.0,56.0,11.0,5.0,21.0,14.0,54.0,0.0,243.0,5674,6762,21101
NAUZONTLA,462.0,638.0,26.0,150.0,85.0,26.0,162.0,400.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,2.0,157.0,2137.0,2676,21102,398.0,532.0,18.0,105.0,142.0,13.0,125.0,585.0,27.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,19.0,6.0,1.0,4.0,0.0,23.0,1.0,118.0,2128,2676,21102
NEALTICAN,1334.0,857.0,147.0,256.0,248.0,115.0,534.0,2431.0,114.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.0,5.0,19.0,0.0,0.0,1.0,283.0,6429.0,8559,21103,1088.0,695.0,73.0,67.0,382.0,57.0,340.0,2822.0,134.0,9.0,12.0,1.0,0.0,15.0,7.0,17.0,6.0,137.0,40.0,9.0,37.0,4.0,275.0,0.0,216.0,6443,8559,21103
NICOLAS BRAVO,200.0,318.0,40.0,904.0,130.0,22.0,40.0,1296.0,29.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,28.0,3.0,9.0,0.0,0.0,0.0,199.0,3259.0,4584,21104,203.0,183.0,22.0,624.0,231.0,10.0,15.0,1798.0,51.0,4.0,1.0,0.0,0.0,5.0,55.0,1.0,4.0,76.0,32.0,7.0,21.0,0.0,111.0,1.0,105.0,3560,4584,21104
NOPALUCAN,2026.0,1631.0,174.0,1816.0,518.0,1050.0,693.0,3408.0,150.0,15.0,5.0,21.0,9.0,0.0,0.0,0.0,0.0,41.0,33.0,6.0,20.0,0.0,0.0,4.0,843.0,12463.0,17323,21105,1579.0,1450.0,88.0,1280.0,922.0,616.0,437.0,4371.0,294.0,21.0,4.0,31.0,5.0,16.0,41.0,8.0,8.0,139.0,78.0,10.0,54.0,16.0,371.0,0.0,640.0,12479,17323,21105
