,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
OCOTEPEC,424.0,580.0,37.0,85.0,98.0,189.0,174.0,816.0,32.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,5.0,0.0,0.0,6.0,180.0,2662.0,3594,21106,377.0,453.0,17.0,15.0,115.0,95.0,105.0,1039.0,41.0,6.0,2.0,2.0,2.0,5.0,8.0,2.0,2.0,38.0,8.0,2.0,10.0,0.0,194.0,2.0,126.0,2666,3594,21106
OCOYUCAN,2480.0,3191.0,502.0,1370.0,417.0,286.0,202.0,6069.0,203.0,58.0,29.0,8.0,5.0,0.0,0.0,0.0,0.0,204.0,38.0,3.0,48.0,0.0,0.0,6.0,794.0,15913.0,23653,21107,2228.0,2935.0,301.0,619.0,665.0,142.0,71.0,7046.0,258.0,102.0,21.0,6.0,4.0,19.0,31.0,5.0,0.0,403.0,100.0,24.0,100.0,4.0,357.0,3.0,572.0,16016,23653,21107
OLINTLA,2376.0,2971.0,17.0,500.0,90.0,31.0,17.0,547.0,16.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,192.0,6775.0,8175,21108,2273.0,2860.0,22.0,455.0,129.0,14.0,7.0,779.0,28.0,5.0,3.0,3.0,0.0,2.0,20.0,1.0,0.0,12.0,8.0,2.0,4.0,0.0,9.0,0.0,147.0,6783,8175,21108
ORIENTAL,1824.0,1636.0,395.0,167.0,234.0,360.0,550.0,2366.0,118.0,26.0,58.0,12.0,2.0,0.0,0.0,0.0,0.0,40.0,20.0,6.0,14.0,0.0,0.0,0.0,464.0,8292.0,11637,21109,1525.0,1217.0,339.0,53.0,495.0,163.0,301.0,3102.0,146.0,37.0,52.0,9.0,4.0,10.0,12.0,17.0,12.0,105.0,36.0,23.0,37.0,1.0,291.0,1.0,322.0,8310,11637,21109
PAHUATLAN,2032.0,1315.0,555.0,120.0,515.0,174.0,69.0,3800.0,118.0,75.0,83.0,12.0,6.0,0.0,0.0,0.0,0.0,136.0,71.0,7.0,29.0,0.0,0.0,3.0,718.0,9838.0,13693,21110,1540.0,1107.0,437.0,47.0,769.0,101.0,52.0,4318.0,161.0,65.0,72.0,16.0,5.0,15.0,39.0,6.0,0.0,246.0,113.0,21.0,46.0,8.0,99.0,2.0,612.0,9897,13693,21110
PALMAR DE BRAVO,3044.0,2888.0,1330.0,471.0,895.0,744.0,312.0,8548.0,389.0,32.0,46.0,13.0,11.0,0.0,0.0,0.0,0.0,210.0,114.0,24.0,94.0,0.0,0.0,7.0,1723.0,20895.0,29236,21111,2595.0,1688.0,918.0,153.0,1476.0,467.0,153.0,9984.0,517.0,43.0,62.0,29.0,5.0,17.0,37.0,11.0,3.0,689.0,200.0,42.0,159.0,1.0,503.0,8.0,1210.0,20970,29236,21111
PANTEPEC,4413.0,830.0,1755.0,115.0,286.0,153.0,188.0,2601.0,90.0,7.0,48.0,21.0,11.0,0.0,0.0,0.0,0.0,38.0,28.0,2.0,15.0,0.0,0.0,1.0,789.0,11391.0,13961,21112,3822.0,795.0,1469.0,50.0,476.0,72.0,99.0,3410.0,129.0,7.0,57.0,15.0,8.0,6.0,5.0,3.0,0.0,77.0,42.0,22.0,30.0,7.0,188.0,0.0,700.0,11489,13961,21112
PETLALCINGO,1294.0,2158.0,151.0,47.0,88.0,27.0,46.0,882.0,38.0,6.0,89.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,6.0,0.0,0.0,0.0,267.0,5122.0,7065,21113,913.0,1806.0,67.0,18.0,251.0,19.0,15.0,1473.0,64.0,8.0,76.0,4.0,0.0,13.0,33.0,2.0,0.0,72.0,24.0,2.0,15.0,1.0,22.0,0.0,233.0,5131,7065,21113
PIAXTLA,361.0,673.0,35.0,29.0,108.0,29.0,12.0,1103.0,23.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,34.0,22.0,0.0,9.0,0.0,0.0,0.0,119.0,2565.0,4105,21114,305.0,539.0,26.0,8.0,139.0,17.0,6.0,1265.0,36.0,0.0,3.0,2.0,0.0,3.0,8.0,1.0,0.0,71.0,28.0,1.0,20.0,3.0,25.0,0.0,66.0,2572,4105,21114
PUEBLA,173304.0,87713.0,11764.0,30925.0,24140.0,17018.0,12572.0,367137.0,14416.0,2867.0,1000.0,853.0,197.0,0.0,0.0,0.0,0.0,10265.0,3916.0,383.0,2704.0,0.0,0.0,549.0,28177.0,789900.0,1280473,21115,142982.0,73481.0,5009.0,4776.0,35762.0,5617.0,3371.0,411656.0,11399.0,4190.0,1149.0,1060.0,139.0,1717.0,1728.0,375.0,243.0,21000.0,6012.0,997.0,4484.0,274.0,42061.0,542.0,16519.0,796543,1280473,21115
QUECHOLAC,1637.0,2141.0,464.0,570.0,1966.0,653.0,284.0,12999.0,563.0,14.0,10.0,15.0,9.0,0.0,0.0,0.0,0.0,404.0,197.0,42.0,145.0,0.0,0.0,5.0,1235.0,23353.0,33324,21116,1461.0,1101.0,318.0,185.0,2179.0,314.0,135.0,14127.0,643.0,29.0,14.0,12.0,7.0,23.0,32.0,9.0,0.0,688.0,317.0,60.0,259.0,6.0,474.0,5.0,879.0,23277,33324,21116
QUIMIXTLAN,3122.0,1825.0,65.0,69.0,452.0,1578.0,1252.0,1149.0,34.0,6.0,26.0,10.0,18.0,0.0,0.0,0.0,0.0,33.0,43.0,2.0,5.0,0.0,0.0,1.0,573.0,10263.0,13166,21117,2905.0,1804.0,55.0,31.0,793.0,1171.0,960.0,2037.0,110.0,8.0,26.0,9.0,0.0,12.0,21.0,17.0,1.0,62.0,52.0,4.0,18.0,0.0,80.0,0.0,484.0,10660,13166,21117
RAFAEL LARA GRAJALES,2126.0,1314.0,128.0,391.0,208.0,402.0,481.0,2898.0,97.0,39.0,20.0,37.0,3.0,0.0,0.0,0.0,0.0,60.0,26.0,1.0,22.0,0.0,0.0,3.0,455.0,8711.0,13184,21118,1590.0,1054.0,79.0,128.0,542.0,154.0,228.0,3527.0,126.0,36.0,21.0,32.0,1.0,4.0,12.0,8.0,6.0,156.0,49.0,9.0,45.0,4.0,497.0,22.0,269.0,8599,13184,21118
SAN ANDRES CHOLULA,19218.0,4813.0,891.0,3439.0,1543.0,1407.0,1416.0,24684.0,879.0,240.0,52.0,51.0,10.0,0.0,0.0,0.0,0.0,635.0,229.0,34.0,185.0,0.0,0.0,39.0,2241.0,62006.0,91693,21120,16902.0,4537.0,322.0,541.0,2102.0,383.0,373.0,28838.0,756.0,417.0,88.0,69.0,9.0,156.0,73.0,19.0,4.0,1390.0,357.0,53.0,319.0,50.0,3227.0,26.0,1025.0,62036,91693,21120
SAN ANTONIO CAÑADA,297.0,965.0,634.0,137.0,176.0,37.0,9.0,647.0,25.0,9.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,7.0,0.0,0.0,1.0,202.0,3178.0,3769,21121,193.0,629.0,369.0,69.0,366.0,16.0,9.0,1198.0,48.0,3.0,9.0,2.0,2.0,3.0,6.0,0.0,1.0,52.0,12.0,3.0,9.0,0.0,14.0,1.0,124.0,3138,3769,21121
SAN DIEGO LA MESA TOCHIMILTZINGO,77.0,278.0,265.0,7.0,9.0,5.0,6.0,86.0,5.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,773.0,911,21122,63.0,259.0,217.0,0.0,21.0,6.0,6.0,150.0,10.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,22.0,773,911,21122
SAN FELIPE TEOTLALCINGO,755.0,882.0,47.0,145.0,311.0,188.0,108.0,1597.0,54.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,22.0,6.0,10.0,0.0,0.0,0.0,201.0,4386.0,7353,21123,622.0,643.0,36.0,31.0,423.0,79.0,34.0,1887.0,81.0,14.0,5.0,9.0,0.0,4.0,10.0,2.0,1.0,97.0,51.0,9.0,25.0,0.0,177.0,2.0,127.0,4369,7353,21123
SAN FELIPE TEPATLAN,68.0,675.0,428.0,339.0,119.0,11.0,2.0,517.0,18.0,2.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,42.0,12.0,6.0,6.0,0.0,0.0,0.0,101.0,2362.0,2859,21124,44.0,623.0,372.0,298.0,146.0,4.0,1.0,626.0,30.0,4.0,5.0,0.0,3.0,1.0,3.0,0.0,1.0,36.0,14.0,7.0,10.0,3.0,9.0,0.0,94.0,2334,2859,21124
SAN GABRIEL CHILAC,1124.0,2337.0,142.0,771.0,267.0,357.0,82.0,3171.0,73.0,24.0,12.0,20.0,2.0,0.0,0.0,0.0,0.0,38.0,28.0,2.0,7.0,0.0,0.0,1.0,344.0,8802.0,10933,21125,778.0,1495.0,40.0,441.0,592.0,204.0,29.0,4255.0,112.0,30.0,3.0,21.0,1.0,4.0,12.0,3.0,0.0,126.0,62.0,6.0,28.0,0.0,263.0,1.0,270.0,8776,10933,21125
SAN GREGORIO ATZOMPA,1396.0,417.0,48.0,291.0,165.0,287.0,91.0,1425.0,119.0,20.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,56.0,19.0,4.0,10.0,0.0,0.0,8.0,277.0,4649.0,6953,21126,1373.0,357.0,26.0,70.0,191.0,131.0,23.0,1723.0,68.0,45.0,5.0,30.0,0.0,6.0,2.0,1.0,0.0,116.0,31.0,17.0,18.0,0.0,289.0,21.0,146.0,4689,6953,21126
SAN JERONIMO TECUANIPAN,424.0,550.0,263.0,61.0,103.0,51.0,160.0,1204.0,37.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,2.0,13.0,0.0,0.0,1.0,127.0,3048.0,4114,21127,370.0,521.0,141.0,17.0,157.0,21.0,99.0,1443.0,65.0,2.0,6.0,1.0,1.0,4.0,6.0,6.0,3.0,55.0,17.0,10.0,31.0,0.0,43.0,0.0,77.0,3096,4114,21127
SAN JERONIMO XAYACATLAN,487.0,697.0,35.0,80.0,83.0,21.0,38.0,766.0,29.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,1.0,7.0,0.0,0.0,0.0,229.0,2506.0,3216,21128,306.0,670.0,31.0,9.0,206.0,7.0,13.0,942.0,63.0,1.0,3.0,3.0,0.0,6.0,6.0,0.0,1.0,57.0,14.0,7.0,20.0,0.0,25.0,0.0,130.0,2520,3216,21128
SAN JOSE CHIAPA,1408.0,556.0,127.0,235.0,106.0,251.0,110.0,1694.0,46.0,7.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,34.0,20.0,3.0,23.0,0.0,0.0,1.0,210.0,4849.0,6321,21129,1098.0,461.0,77.0,120.0,230.0,130.0,43.0,2096.0,60.0,12.0,15.0,4.0,0.0,5.0,7.0,16.0,4.0,70.0,36.0,3.0,41.0,1.0,211.0,0.0,137.0,4877,6321,21129
SAN JOSE MIAHUATLAN,1021.0,2523.0,62.0,44.0,195.0,58.0,26.0,3368.0,26.0,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,2.0,14.0,0.0,0.0,0.0,233.0,7628.0,9606,21130,713.0,1753.0,42.0,9.0,448.0,32.0,15.0,4023.0,58.0,5.0,7.0,3.0,0.0,2.0,21.0,5.0,6.0,60.0,33.0,6.0,22.0,5.0,39.0,0.0,155.0,7462,9606,21130
SAN JUAN ATENCO,438.0,260.0,30.0,25.0,41.0,424.0,29.0,737.0,31.0,9.0,8.0,26.0,2.0,0.0,0.0,0.0,0.0,15.0,12.0,1.0,5.0,0.0,0.0,0.0,127.0,2220.0,2911,21131,324.0,141.0,14.0,6.0,113.0,204.0,2.0,1065.0,58.0,10.0,5.0,18.0,0.0,1.0,2.0,0.0,0.0,45.0,16.0,5.0,15.0,0.0,110.0,2.0,75.0,2231,2911,21131
SAN JUAN ATZOMPA,60.0,241.0,3.0,3.0,9.0,7.0,3.0,265.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,25.0,628.0,805,21132,48.0,186.0,3.0,0.0,17.0,4.0,1.0,322.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,6.0,0.0,19.0,628,805,21132
SAN MARTIN TEXMELUCAN,11292.0,8485.0,1078.0,3003.0,4209.0,1139.0,1571.0,29515.0,1201.0,156.0,70.0,49.0,21.0,0.0,0.0,0.0,0.0,741.0,423.0,23.0,150.0,0.0,0.0,38.0,2695.0,65859.0,109573,21133,8412.0,6041.0,555.0,651.0,5136.0,400.0,373.0,35960.0,1092.0,231.0,55.0,70.0,8.0,92.0,139.0,26.0,14.0,1726.0,711.0,78.0,358.0,58.0,4056.0,46.0,1596.0,67884,109573,21133
SAN MARTIN TOTOLTEPEC,16.0,49.0,48.0,130.0,2.0,1.0,1.0,215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,482.0,604,21134,13.0,46.0,37.0,83.0,6.0,2.0,3.0,249.0,5.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,470,604,21134
SAN MATIAS TLALANCALECA,1932.0,1954.0,97.0,460.0,726.0,138.0,697.0,3426.0,111.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,61.0,53.0,4.0,11.0,0.0,0.0,12.0,471.0,10168.0,15019,21135,1580.0,1422.0,70.0,142.0,834.0,62.0,330.0,4384.0,173.0,16.0,5.0,10.0,0.0,10.0,16.0,6.0,1.0,179.0,95.0,5.0,45.0,13.0,422.0,3.0,327.0,10150,15019,21135
SAN MIGUEL IXITLAN,83.0,137.0,5.0,2.0,7.0,2.0,1.0,133.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,398.0,487,21136,92.0,123.0,3.0,0.0,13.0,0.0,0.0,135.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,12.0,404,487,21136
SAN MIGUEL XOXTLA,1087.0,737.0,82.0,506.0,325.0,286.0,257.0,2604.0,80.0,5.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,41.0,33.0,4.0,10.0,0.0,0.0,1.0,289.0,6355.0,8889,21137,882.0,580.0,31.0,130.0,601.0,89.0,74.0,3142.0,82.0,15.0,3.0,5.0,2.0,6.0,4.0,1.0,0.0,131.0,62.0,11.0,27.0,1.0,321.0,3.0,131.0,6334,8889,21137
SAN NICOLAS BUENOS AIRES,1061.0,659.0,334.0,868.0,86.0,615.0,118.0,986.0,35.0,3.0,11.0,7.0,8.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,6.0,0.0,0.0,0.0,323.0,5142.0,7280,21138,1034.0,489.0,242.0,582.0,276.0,414.0,27.0,1495.0,81.0,4.0,7.0,7.0,6.0,8.0,19.0,4.0,5.0,48.0,28.0,3.0,19.0,2.0,128.0,0.0,223.0,5151,7280,21138
SAN NICOLAS DE LOS RANCHOS,368.0,977.0,848.0,148.0,182.0,116.0,77.0,2395.0,129.0,12.0,23.0,1.0,3.0,0.0,0.0,0.0,0.0,103.0,23.0,6.0,28.0,0.0,0.0,0.0,378.0,5817.0,7948,21139,305.0,825.0,561.0,33.0,329.0,48.0,30.0,2785.0,199.0,11.0,16.0,1.0,2.0,4.0,17.0,3.0,0.0,195.0,37.0,7.0,40.0,2.0,87.0,1.0,280.0,5818,7948,21139
SAN PABLO ANICANO,71.0,863.0,612.0,73.0,16.0,27.0,6.0,553.0,17.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,88.0,2345.0,2941,21140,52.0,781.0,456.0,8.0,61.0,7.0,3.0,814.0,52.0,0.0,10.0,0.0,1.0,2.0,8.0,1.0,0.0,14.0,4.0,2.0,2.0,1.0,26.0,0.0,40.0,2345,2941,21140
SAN PEDRO CHOLULA,17178.0,5958.0,1295.0,3106.0,2067.0,1865.0,1941.0,27193.0,1635.0,230.0,65.0,76.0,20.0,0.0,0.0,0.0,0.0,806.0,244.0,46.0,216.0,0.0,0.0,51.0,3065.0,67057.0,102485,21141,13771.0,5434.0,675.0,470.0,2928.0,455.0,402.0,33322.0,1329.0,352.0,89.0,103.0,5.0,124.0,78.0,30.0,15.0,1783.0,449.0,85.0,438.0,123.0,4060.0,42.0,1443.0,68005,102485,21141
SAN PEDRO YELOIXTLAHUACA,452.0,614.0,31.0,41.0,45.0,10.0,274.0,679.0,19.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,81.0,2266.0,2836,21142,342.0,494.0,22.0,7.0,101.0,9.0,209.0,939.0,32.0,3.0,8.0,0.0,1.0,2.0,2.0,3.0,3.0,12.0,9.0,2.0,2.0,1.0,12.0,0.0,55.0,2270,2836,21142
SAN SALVADOR EL SECO,2274.0,2476.0,815.0,524.0,415.0,1431.0,217.0,5624.0,222.0,37.0,24.0,23.0,9.0,0.0,0.0,0.0,0.0,137.0,61.0,9.0,45.0,0.0,0.0,1.0,783.0,15127.0,20289,21143,1656.0,1897.0,534.0,123.0,790.0,639.0,65.0,7424.0,341.0,52.0,26.0,31.0,7.0,16.0,28.0,7.0,5.0,312.0,113.0,17.0,109.0,1.0,575.0,1.0,598.0,15367,20289,21143
SAN SALVADOR EL VERDE,1732.0,2151.0,670.0,939.0,1184.0,313.0,745.0,5232.0,280.0,22.0,14.0,13.0,5.0,0.0,0.0,0.0,0.0,149.0,92.0,4.0,43.0,0.0,0.0,1.0,747.0,14336.0,22092,21144,1337.0,1417.0,383.0,277.0,1452.0,123.0,307.0,6672.0,372.0,33.0,15.0,10.0,6.0,26.0,28.0,10.0,4.0,422.0,156.0,27.0,85.0,8.0,646.0,2.0,460.0,14278,22092,21144
SAN SALVADOR HUIXCOLOTLA,900.0,1008.0,121.0,83.0,192.0,122.0,43.0,3792.0,101.0,11.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,107.0,27.0,1.0,38.0,0.0,0.0,4.0,333.0,6922.0,9289,21145,542.0,570.0,55.0,9.0,391.0,42.0,17.0,4299.0,158.0,29.0,33.0,4.0,1.0,6.0,15.0,1.0,0.0,195.0,74.0,12.0,81.0,2.0,126.0,0.0,305.0,6967,9289,21145
SAN SEBASTIAN TLACOTEPEC,2538.0,1915.0,58.0,279.0,267.0,51.0,188.0,772.0,26.0,3.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,10.0,2.0,5.0,0.0,0.0,0.0,338.0,6490.0,8172,21177,2274.0,1711.0,40.0,207.0,460.0,47.0,132.0,1165.0,69.0,5.0,6.0,2.0,0.0,5.0,13.0,4.0,4.0,44.0,20.0,4.0,4.0,1.0,23.0,0.0,243.0,6483,8172,21177
SANTA CATARINA TLALTEMPAN,127.0,198.0,3.0,6.0,13.0,6.0,6.0,169.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,574.0,748,21146,103.0,171.0,3.0,0.0,21.0,1.0,2.0,231.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,3.0,0.0,22.0,576,748,21146
SANTA INES AHUATEMPAN,637.0,1219.0,36.0,43.0,131.0,28.0,31.0,1051.0,26.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,14.0,1.0,3.0,0.0,0.0,0.0,112.0,3365.0,4529,21147,610.0,1086.0,28.0,5.0,180.0,17.0,19.0,1260.0,37.0,6.0,8.0,3.0,0.0,1.0,5.0,1.0,0.0,38.0,16.0,2.0,7.0,0.0,38.0,0.0,77.0,3444,4529,21147
SANTA ISABEL CHOLULA,850.0,356.0,87.0,669.0,194.0,100.0,125.0,2028.0,81.0,11.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,93.0,30.0,5.0,36.0,0.0,0.0,0.0,329.0,5018.0,7645,21148,635.0,310.0,56.0,347.0,310.0,37.0,34.0,2350.0,120.0,16.0,12.0,7.0,6.0,4.0,18.0,1.0,9.0,232.0,41.0,35.0,48.0,0.0,125.0,17.0,244.0,5014,7645,21148
SANTIAGO MIAHUATLAN,1564.0,2005.0,144.0,1204.0,838.0,177.0,299.0,4002.0,90.0,8.0,11.0,14.0,11.0,0.0,0.0,0.0,0.0,96.0,68.0,9.0,13.0,0.0,0.0,0.0,482.0,11035.0,17231,21149,1205.0,1122.0,91.0,591.0,1235.0,74.0,19.0,5359.0,169.0,10.0,8.0,16.0,1.0,12.0,17.0,2.0,2.0,222.0,135.0,18.0,41.0,2.0,351.0,1.0,341.0,11044,17231,21149
SANTO TOMAS HUEYOTLIPAN,612.0,449.0,42.0,89.0,169.0,78.0,242.0,2528.0,53.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,0.0,16.0,0.0,0.0,0.0,215.0,4565.0,6130,21150,423.0,239.0,31.0,24.0,301.0,28.0,94.0,2916.0,82.0,9.0,5.0,2.0,0.0,2.0,1.0,3.0,0.0,91.0,39.0,2.0,28.0,2.0,166.0,0.0,127.0,4615,6130,21150
SOLTEPEC,702.0,821.0,299.0,675.0,320.0,229.0,368.0,2167.0,96.0,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,40.0,18.0,2.0,11.0,0.0,0.0,1.0,455.0,6219.0,8814,21151,571.0,748.0,191.0,407.0,508.0,115.0,240.0,2538.0,147.0,16.0,4.0,4.0,3.0,6.0,13.0,3.0,3.0,84.0,42.0,4.0,29.0,0.0,220.0,2.0,322.0,6220,8814,21151
TECALI DE HERRERA,2127.0,1439.0,211.0,314.0,392.0,168.0,418.0,5071.0,168.0,37.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,140.0,56.0,6.0,48.0,0.0,0.0,1.0,479.0,11111.0,15067,21152,1594.0,1149.0,150.0,95.0,644.0,59.0,129.0,5659.0,222.0,49.0,16.0,24.0,0.0,10.0,6.0,3.0,1.0,320.0,85.0,18.0,116.0,2.0,336.0,0.0,337.0,11024,15067,21152
TECAMACHALCO,4386.0,3258.0,683.0,1367.0,1355.0,1311.0,408.0,20638.0,624.0,80.0,191.0,33.0,17.0,0.0,0.0,0.0,0.0,518.0,273.0,25.0,206.0,0.0,0.0,8.0,1856.0,37237.0,53689,21153,2644.0,1925.0,302.0,341.0,2490.0,426.0,134.0,23890.0,902.0,89.0,137.0,44.0,12.0,40.0,36.0,18.0,11.0,1265.0,526.0,85.0,357.0,12.0,1092.0,25.0,1166.0,37969,53689,21153
TECOMATLAN,117.0,1683.0,35.0,43.0,103.0,18.0,15.0,494.0,13.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,2.0,4.0,0.0,0.0,0.0,111.0,2678.0,4794,21154,108.0,1536.0,18.0,23.0,128.0,7.0,7.0,613.0,23.0,3.0,4.0,2.0,1.0,16.0,13.0,4.0,1.0,41.0,15.0,3.0,4.0,0.0,18.0,0.0,73.0,2661,4794,21154
TEHUACAN,21170.0,17388.0,1900.0,9531.0,4040.0,1752.0,1914.0,72014.0,1799.0,271.0,140.0,58.0,32.0,0.0,0.0,0.0,0.0,1360.0,550.0,85.0,396.0,0.0,0.0,38.0,5038.0,139476.0,216180,21155,17074.0,10296.0,1009.0,2860.0,6157.0,557.0,463.0,84154.0,1988.0,373.0,140.0,77.0,8.0,184.0,345.0,38.0,25.0,3005.0,1066.0,138.0,768.0,79.0,6828.0,29.0,3244.0,140905,216180,21155
TEHUITZINGO,889.0,2193.0,73.0,46.0,110.0,192.0,56.0,2500.0,38.0,5.0,22.0,5.0,4.0,0.0,0.0,0.0,0.0,39.0,14.0,1.0,12.0,0.0,0.0,0.0,212.0,6411.0,9608,21156,757.0,1800.0,44.0,11.0,182.0,132.0,21.0,2975.0,74.0,9.0,15.0,7.0,3.0,11.0,26.0,4.0,0.0,71.0,25.0,6.0,21.0,1.0,64.0,0.0,162.0,6421,9608,21156
TENAMPULCO,918.0,1391.0,27.0,365.0,68.0,39.0,173.0,925.0,25.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,201.0,4168.0,5261,21157,876.0,1178.0,18.0,291.0,129.0,13.0,102.0,1207.0,35.0,16.0,10.0,0.0,0.0,5.0,13.0,4.0,7.0,31.0,9.0,4.0,8.0,0.0,65.0,0.0,147.0,4168,5261,21157
TEOPANTLAN,1064.0,783.0,15.0,19.0,146.0,18.0,9.0,294.0,11.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,123.0,2514.0,3489,21158,965.0,661.0,15.0,10.0,202.0,14.0,6.0,446.0,15.0,3.0,12.0,3.0,0.0,1.0,4.0,1.0,0.0,21.0,5.0,1.0,2.0,0.0,10.0,0.0,103.0,2500,3489,21158
TEOTLALCO,220.0,419.0,254.0,38.0,50.0,37.0,470.0,360.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,86.0,1965.0,2559,21159,225.0,325.0,129.0,15.0,175.0,16.0,215.0,655.0,60.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,25.0,6.0,2.0,5.0,2.0,22.0,0.0,81.0,1966,2559,21159
TEPANCO DE LOPEZ,1487.0,1801.0,143.0,270.0,425.0,212.0,1105.0,4831.0,166.0,10.0,15.0,8.0,3.0,0.0,0.0,0.0,0.0,93.0,45.0,3.0,37.0,0.0,0.0,2.0,675.0,11331.0,15051,21160,1055.0,1084.0,90.0,51.0,748.0,90.0,494.0,6125.0,244.0,11.0,20.0,9.0,2.0,7.0,19.0,15.0,4.0,220.0,100.0,10.0,84.0,4.0,294.0,3.0,546.0,11329,15051,21160
